id,name,price,originalPrice,image,category,subcategory,brand,rating,reviews,description,features,tags,priceRange,targetAudience,inStock
1,"Wireless Noise-Canceling Headphones",299.99,399.99,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&h=300&fit=crop","Electronics","Audio","AudioTech",4.8,2847,"Premium wireless headphones with industry-leading noise cancellation and 30-hour battery life.","Active Noise Cancellation with 8 microphones|30-hour battery life with quick charge|Premium comfort with memory foam cushions|High-quality audio with custom drivers|Multipoint Bluetooth connection","wireless|noise-canceling|bluetooth|premium|long-battery","premium","professionals|audiophiles|travelers",true
2,"Smart Fitness Tracker",199.99,249.99,"https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500&h=300&fit=crop","Wearables","Fitness","FitPro",4.6,1523,"Advanced fitness tracker with GPS, heart rate monitoring, and 7-day battery life.","Built-in GPS for accurate tracking|24/7 heart rate monitoring|Sleep quality analysis|Water-resistant up to 50 meters|Smart notifications and app ecosystem","fitness|gps|heart-rate|waterproof|health","mid","fitness-enthusiasts|health-conscious|athletes",true
3,"Ergonomic Office Chair",449.99,,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=500&h=300&fit=crop","Furniture","Office","ErgoComfort",4.7,892,"Professional ergonomic office chair with lumbar support and adjustable features.","Adjustable lumbar support|Height and tilt adjustment|Breathable mesh fabric|360-degree swivel base|Weight capacity up to 300 lbs","ergonomic|office|adjustable|lumbar-support|professional","premium","office-workers|remote-workers|professionals",false
4,"Portable Bluetooth Speaker",89.99,119.99,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500&h=300&fit=crop","Electronics","Audio","SoundWave",4.4,3241,"Waterproof portable speaker with 360-degree sound and 20-hour battery life.","360-degree surround sound|IPX7 waterproof rating|20-hour battery life|Wireless stereo pairing|Built-in microphone for calls","portable|bluetooth|waterproof|360-sound|long-battery","budget","outdoor-enthusiasts|music-lovers|travelers",true
5,"Smart Home Security Camera",159.99,,"https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500&h=300&fit=crop","Smart Home","Security","SecureVision",4.5,1876,"AI-powered security camera with 4K video, night vision, and smart alerts.","4K Ultra HD video recording|Advanced night vision|AI person and vehicle detection|Two-way audio communication|Cloud and local storage options","security|4k|night-vision|ai-detection|smart-home","mid","homeowners|security-conscious|tech-enthusiasts",true
6,"Premium Coffee Maker",249.99,299.99,"https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=500&h=300&fit=crop","Kitchen","Appliances","BrewMaster",4.6,967,"Programmable drip coffee maker with thermal carafe and customizable brewing options.","12-cup thermal carafe|Programmable 24-hour timer|Adjustable brew strength|Auto shut-off safety feature|Permanent gold-tone filter included","coffee|programmable|thermal|12-cup|premium","mid","coffee-enthusiasts|busy-professionals|families",true
7,"Mechanical Gaming Keyboard",129.99,,"https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=500&h=300&fit=crop","Gaming","Peripherals","GamePro",4.8,2156,"RGB mechanical keyboard with tactile switches and customizable lighting effects.","Mechanical tactile switches|RGB backlighting with effects|Anti-ghosting technology|Programmable macro keys|Detachable USB-C cable","mechanical|gaming|rgb|tactile|programmable","mid","gamers|programmers|enthusiasts",true
8,"Wireless Charging Pad",39.99,59.99,"https://images.unsplash.com/photo-1609592193419-8e3c0c7c9b3e?w=500&h=300&fit=crop","Accessories","Charging","ChargeTech",4.3,1432,"Fast wireless charging pad compatible with all Qi-enabled devices.","10W fast wireless charging|Qi-certified compatibility|LED charging indicator|Non-slip surface design|Overcharge protection","wireless-charging|qi-compatible|fast-charging|accessory|safe","budget","smartphone-users|convenience-seekers|tech-users",true
9,"Studio Monitor Headphones",199.99,,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500&h=300&fit=crop","Electronics","Audio","AudioTech",4.9,1876,"Professional studio monitor headphones with flat frequency response and exceptional clarity.","Flat frequency response|Open-back design for natural sound|Detachable cable|Comfortable over-ear design|Professional-grade drivers","studio|monitor|professional|open-back|flat-response","mid","audio-professionals|musicians|audiophiles",true
10,"Budget Wireless Headphones",79.99,99.99,"https://images.unsplash.com/photo-1524678606370-a47ad25cb82a?w=500&h=300&fit=crop","Electronics","Audio","SoundWave",4.2,3421,"Affordable wireless headphones with good sound quality and 25-hour battery life.","25-hour battery life|Lightweight design|Clear call quality|Foldable for portability|Quick charge feature","budget|wireless|lightweight|long-battery|portable","budget","students|casual-listeners|budget-conscious",true
